"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"28","217.80715565751677","101.3655167566146","4.99440242324861","-0.3073714140177614","0.0414000000000001","0.0066","0.07620000000000005","1300","0.0002599711533373477","0","0.0002599711533373477","0.0002599711533373477","28_35:0.010931073191366214;28_27:0.006727799202211698;28_29:0.009712097783176665","28_35:660;28_27:660;28_29:660","true"
"29","388.44883379738656","392.55921972969463","4.6286491295706345","-0.3122408870668324","0.020000000000000018","0.028","0.01200000000000001","1300","0.00016281036603240986","0","0.00016281036603240986","0.00016281036603240986","","","true"
"30","367.6092610332073","67.01582748912368","4.732965719362059","-0.31090012417705765","0.006599999999999939","0.008399999999999963","0.0048","1300","0.00018787688345621708","0","0.00018787688345621708","0.00018787688345621708","30_31:0.00677593929467829;30_29:0.005669454079213654","30_31:660;30_29:660","true"
"31","224.91343572069798","54.41528437299752","4.797666871392719","-0.31025628620305007","0.00550000000000006","0.008199999999999985","0.0028","1300","0.00022083514184415565","0","0.00022083514184415565","0.00022083514184415565","31_32:0.007293377630830572","31_32:660","true"
"32","103.08625274969953","106.07554045964996","4.910386069926192","-0.3078794303810588","0.006399999999999961","0.008399999999999963","0.0044","1300","0.00020025483219393583","0","0.00020025483219393583","0.00020025483219393583","32_36:0.007529339870939261","32_36:660","true"
"33","203.65104340146908","94.86852504758664","4.973179864912966","-0.3075486854907048","0.02279999999999993","0.015599999999999947","0.03","1300","0.00019346536343186718","0","0.00019346536343186718","0.00019346536343186718","33_39:0.006421546230964192","33_39:660","true"
"34","272.6694948690665","191.32958783019623","4.678636054063652","-0.3124338462946453","0.024599999999999955","0.0252","0.02400000000000002","1300","0.00015991014929975903","0","0.00015991014929975903","0.00015991014929975903","34_43:0.007003600922597691","34_43:660","true"
"35","216.7702660435168","94.60247158352179","4.907602427825297","-0.308301773576246","0.014899999999999913","0.0146","0.015199999999999991","1300","0.00043949524802729757","0","0.00043949524802729757","0.00043949524802729757","35_47:0.009245960600352626","35_47:660","true"
"36","275.5851054872253","265.35090404042984","4.8122759352200895","-0.31175120998201256","0.013399999999999967","0.0196","0.007199999999999984","1300","0.00039503265331243065","0","0.00039503265331243065","0.00039503265331243065","36_51:0.0051778094883746795","36_51:660","true"
"37","201.61353045951415","104.48752360536454","4.837909740474339","-0.30886995110205334","0.00990000000000002","0.0094","0.010399999999999965","1300","0.00022603486877599346","0","0.00022603486877599346","0.00022603486877599346","37_38:0.0076867473335167635","37_38:660","true"
"38","253.82504247247337","152.20430704527388","4.776679833049806","-0.31016511917022377","0.017800000000000038","0.020199999999999996","0.0154","1300","0.0002744374478977357","0","0.0002744374478977357","0.0002744374478977357","","","true"
"39","224.16175589471038","89.76488860127098","4.917369422541952","-0.30824769981735706","0.04200000000000004","0.0518","0.032200000000000006","1300","0.0003037970825725792","0","0.0003037970825725792","0.0003037970825725792","39_38:0.009653257792833575","39_38:660","true"
"40","256.7366357209165","18.463831797085934","4.86820398819914","-0.30859152479413265","0.04610000000000003","0.042","0.05020000000000002","1300","0.00023387478270052428","0","0.00023387478270052428","0.00023387478270052428","40_41:0.009178551248602534;40_39:0.010281456701402708","40_41:660;40_39:660","true"
"41","195.38501210125827","147.84263365489463","4.93554356404785","-0.30862641143413133","0.05390000000000006","0.057599999999999985","0.0502","1300","0.00023648090792378955","0","0.00023648090792378955","0.00023648090792378955","41_53:0.005874119856187021","41_53:660","true"
"42","206.51264870528817","81.00789953359521","5.063928457005725","-0.3066601274184393","0.011600000000000055","0.00880000000000003","0.0144","1300","0.0001952850222139786","0","0.0001952850222139786","0.0001952850222139786","42_41:0.006450963237495916;42_43:0.0068229167766452326","42_41:660;42_43:660","true"
"43","163.06498267491543","170.89572552828218","4.829552892647809","-0.3101290706249939","0.027800000000000047","0.033","0.022599999999999953","1300","0.0002743954202314767","0","0.0002743954202314767","0.0002743954202314767","43_44:0.011547376240611279","43_44:660","true"
"44","284.9974676067381","16.78743002075636","4.949171040166026","-0.3085061819189273","0.022199999999999998","0.015000000000000013","0.0294","1300","0.00031459458581938054","0","0.00031459458581938054","0.00031459458581938054","44_45:0.006906741168457825","44_45:660","true"
"45","308.0075756477977","28.96112923616806","4.999439570777192","-0.35905492913025383","0.046599999999999975","0.0476","0.045599999999999974","1300","0.00034945798888607585","0","0.00034945798888607585","0.00034945798888607585","","","true"
"46","319.5696059690108","149.5110713065","4.853136127313077","-0.3093752065131216","0.012299999999999978","0.011600000000000055","0.013","1300","0.00027873974302683707","0","0.00027873974302683707","0.00027873974302683707","46_45:0.01853324669993528;46_47:0.0050011804256101244","46_45:660;46_47:660","true"
"47","218.82140680905738","167.2401692868037","4.769537734046866","-0.3109329882546267","0.006699999999999928","0.007000000000000006","0.0064","1300","0.0001608532421068631","0","0.0001608532421068631","0.0001608532421068631","","","true"
"48","211.21904211506464","89.60257967678089","4.844159296930073","-0.3101551740988557","0.014499999999999957","0.015199999999999991","0.0138","1300","0.0002388812601013681","0","0.0002388812601013681","0.0002388812601013681","48_47:0.0061055759892437445;48_49:0.010025498585554654","48_47:660;48_49:660","true"
"49","120.17623350685088","50.33663955393162","4.697333027060798","-0.312183453636997","0.010399999999999965","0.01200000000000001","0.0088","1300","0.0004934303933027498","0","0.0004934303933027498","0.0004934303933027498","","","true"
"50","200.37302599203298","38.65560948294861","4.784065216389066","-0.31049210238863767","0.01200000000000001","0.012800000000000034","0.0112","1300","0.00043520719129612267","0","0.00043520719129612267","0.00043520719129612267","50_51:0.008495765780136666;50_49:0.013242135364706892","50_51:660;50_49:660","true"
"51","340.68512210008305","365.39110118495125","4.931195143259573","-0.3079514036835037","0.01319999999999999","0.014399999999999968","0.012","1300","0.00017184799425730183","0","0.00017184799425730183","0.00017184799425730183","","","true"
"52","259.2202093644702","187.2685963566949","4.915268091888991","-0.30801090653647334","0.008900000000000019","0.010199999999999987","0.0076","1300","0.0001674090509150921","0","0.0001674090509150921","0.0001674090509150921","52_37:0.00622106934319;52_56:0.00813444438570296","52_37:660;52_56:660","true"
"53","150.10946773309044","62.36505045120898","4.996701228091365","-0.30683792833129964","0.012900000000000023","0.0142","0.011600000000000055","1300","0.00023341942091893847","0","0.00023341942091893847","0.00023341942091893847","53_60:0.009532517852426703","53_60:660","true"
"54","252.68551254898935","142.7248763327881","4.96962461873921","-0.3069935236147513","0.01739999999999997","0.017199999999999993","0.0176","1300","0.0002871632164332101","0","0.0002871632164332101","0.0002871632164332101","54_45:0.012895664811464397;54_64:0.009865371746072604","54_45:660;54_64:660","true"
"55","290.3021808305234","124.14597089197488","4.837201893521209","-0.31038048092010345","0.010399999999999965","0.009600000000000053","0.0112","1300","0.00019332562481452154","0","0.00019332562481452154","0.00019332562481452154","55_49:0.009975418262137437;55_68:0.005512157567192505","55_49:660;55_68:660","true"
"56","257.3070332488443","164.37274643754523","4.8145266476661215","-0.30974571553277236","0.01429999999999998","0.019199999999999995","0.0094","1300","0.00032046856580517736","0","0.00032046856580517736","0.00032046856580517736","56_57:0.006789024635511676","56_57:660","true"
"57","243.86885984392674","129.59646059902948","4.927636215797346","-0.30778611849622645","0.01100000000000001","0.01319999999999999","0.0088","1300","0.00018181507322873806","0","0.00018181507322873806","0.00018181507322873806","57_58:0.005475905172554862","57_58:660","true"
"58","188.95534962445703","17.461444670754968","4.886914741135209","-0.30930018015034827","0.29000000000000004","0.29","0.29000000000000004","1300","0.0003164818990489705","0","0.0003164818990489705","0.0003164818990489705","58_71:0.006371320387762058;58_59:0.0061838661108640225","58_71:660;58_59:660","true"
"59","174.4886726162814","21.81992790483107","4.971240983646933","-0.30762691104199297","0.033299999999999996","0.03300000000000003","0.0336","1300","0.00023514537579383426","0","0.00023514537579383426","0.00023514537579383426","59_60:0.012479168641481908","59_60:660","true"
"60","237.81892943179244","17.057476778326997","4.766228041500117","-0.31054248475500074","0.0403","0.02839999999999998","0.0522","1300","0.0005724255781379653","0","0.0005724255781379653","0.0005724255781379653","60_61:0.013216237893109856","60_61:660","true"
"61","216.0864431102388","20.312411781934546","4.793929680818951","-0.29056402780855567","0.1856","0.1866","0.1846","1300","0.0006912267719974954","0","0.0006912267719974954","0.0006912267719974954","","","true"
"62","259.56456448553763","223.24705965531632","4.935227577924499","-0.3079921198487331","0.014599999999999946","0.013599999999999945","0.0156","1300","0.0003001997584349338","0","0.0003001997584349338","0.0003001997584349338","62_61:0.009976266020586932;62_63:0.008721819531162717;62_72:0.010194544300273223","62_61:660;62_63:660;62_72:660","true"
"63","46.20339918637584","92.37819080366096","5.041629381337884","-0.30694631371315323","0.01429999999999998","0.018000000000000016","0.0106","1300","0.00020405727993743285","0","0.00020405727993743285","0.00020405727993743285","63_64:0.0072434021797163906","63_64:660","true"
"64","246.7299525559426","162.14856469842744","4.821568151625261","-0.30967161679000116","0.013700000000000045","0.019000000000000017","0.0084","1300","0.00016993648661831423","0","0.00016993648661831423","0.00016993648661831423","","","true"
"65","383.5789338683244","112.58233217912375","4.95716283840736","-0.3075262411046977","0.010000000000000009","0.0102","0.009800000000000031","1300","0.00020390644722696448","0","0.00020390644722696448","0.00020390644722696448","65_64:0.006115235476596231;65_66:0.005296928399301015","65_64:660;65_66:660","true"
"66","238.97895272853484","163.0822741590149","4.885003283440064","-0.3091067496263565","0.009399999999999964","0.0104","0.008399999999999963","1300","0.00020214725422729068","0","0.00020214725422729068","0.00020214725422729068","","","true"
"67","254.0270085008852","147.0177906894835","5.11394299354881","-0.3058889857295697","0.06590000000000007","0.057599999999999985","0.0742","1300","0.00018869769960302616","0","0.00018869769960302616","0.00018869769960302616","67_66:0.006026329276919817;67_68:0.006825279389472638","67_66:660;67_68:660","true"
"68","273.2167770372759","31.156791759085408","4.743755986637629","-0.31111458963233274","0.03499999999999992","0.036599999999999966","0.0334","1300","0.00020224887256163634","0","0.00020224887256163634","0.00020224887256163634","","","true"
"69","239.27428379895295","155.15147508672294","5.117688308169659","-0.3044028997353383","0.012599999999999945","0.015","0.010199999999999987","1300","0.00025668602042160674","0","0.00025668602042160674","0.00025668602042160674","69_68:0.008514287329646625;69_70:0.0071073785775447595","69_68:660;69_70:660","true"
"70","152.92012661336543","137.0187983026269","4.898861335636608","-0.3082399407301921","0.06469999999999998","0.0694","0.06000000000000005","1300","0.0002420274556911377","0","0.0002420274556911377","0.0002420274556911377","","","true"
"71","74.15747462755716","102.68690455755306","4.7882496146687785","-0.3094663460422399","0.03499999999999992","0.03666666666666667","0.033333333333333326","1300","0.00037451040088438856","0","0.00037451040088438856","0.00037451040088438856","","","true"
"72","240.94965632510178","22.740599539183783","5.059271507650144","-0.2985458699744989","0.0383","0.0418","0.03480000000000005","1300","0.00048452326873563715","0","0.00048452326873563715","0.00048452326873563715","","","true"
"73","286.2933241205015","287.33337917378157","4.979584192352369","-0.307607369486609","0.00880000000000003","0.0088","0.00880000000000003","1300","0.00013125709138671647","0","0.00013125709138671647","0.00013125709138671647","73_66:0.006093099968782073","73_66:660","true"
